Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0425-01389550,2,2,C3,"2,200.00",61,,SALTHILL,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0425-01384156,2,3,,950.00,60,,SALTHILL,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0225-01328698,2,0,,"1,900.00",60,,SALTHILL,02/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0718-01369660-25,2,4,,999.00,60,,SALTHILL,07/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01634297,3,3,C2,"1,950.00",90,,SALTHILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1219-01554091-25,3,6,D1,"1,212.00",92,,SALTHILL,12/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0923-00679215-26,3,5,D1,"1,245.00",80,,SALTHILL,09/2023,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0126-01719524,3,3,,"3,200.00",100,,SALTHILL,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1019-01532409-25,3,6,,"1,611.00",90,,SALTHILL,10/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0719-01500843-25,3,0,,"1,384.00",60,,SALTHILL,07/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0625-01460684,3,3,,"1,500.00",65,,SALTHILL,06/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0425-01378735,3,3,,"1,800.00",75,,SALTHILL,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1024-01201556-25,3,6,,"1,669.00",70,,SALTHILL,10/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1124-01201568-25,3,6,,"1,600.00",70,,SALTHILL,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01649622,3,0,A2,"2,700.00",96,,BARNA,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0325-01354175,3,0,A2,"2,700.00",96,,BARNA,03/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0126-01724368,3,0,B3,"2,800.00",90,,BARNA,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1124-01221337-25,3,4,B3,762.00,90,,BARNA,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1025-01606657,3,3,C1,"2,244.00",90,,BARNA,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0918-01387540-25,3,5,C1,"1,259.00",90,,BARNA,09/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1225-01698451,3,3,C3,"1,380.00",90,,BARNA,12/2025,
